,Landmark_1,Landmark_2,Landmark_3,Class
124,6.0,5.0,32.01562118716424,Drowsy
126,5.0,5.0990195135927845,33.06055050963308,Drowsy
128,5.0,4.0,32.0624390837628,Drowsy
130,9.0,8.06225774829855,29.42787793912432,Drowsy
132,10.0,9.055385138137416,29.61418578992169,Drowsy
134,14.0356688476182,13.0,35.05709628591621,Alert
136,14.0,13.038404810405298,32.14031735997639,Alert
138,13.038404810405298,13.0,34.058772731852805,Alert
140,13.0,12.0,33.06055050963308,Alert
142,13.038404810405298,13.0,35.0142828000232,Alert
144,13.038404810405298,12.041594578792296,34.058772731852805,Alert
146,13.038404810405298,12.041594578792296,34.058772731852805,Alert
148,12.041594578792296,12.0,34.058772731852805,Alert
150,12.0,10.0,32.01562118716424,Alert
152,10.0,9.055385138137416,30.4138126514911,Drowsy
154,10.0,9.055385138137416,32.14031735997639,Drowsy
156,9.055385138137416,8.06225774829855,31.400636936215164,Drowsy
158,9.0,8.06225774829855,33.24154027718932,Drowsy
160,9.0,7.071067811865476,30.4138126514911,Drowsy
162,10.04987562112089,9.055385138137416,26.0,Alert
164,10.0,8.0,33.13608305156178,Drowsy
166,10.0,9.0,30.14962686336267,Drowsy
168,9.0,8.0,32.2490309931942,Drowsy
170,11.0,10.04987562112089,33.06055050963308,Drowsy
172,10.0,10.0,34.0147027033899,Drowsy
174,9.0,8.0,32.0624390837628,Drowsy
176,8.0,8.06225774829855,32.38826948140329,Drowsy
178,8.0,7.071067811865476,30.4138126514911,Drowsy
180,13.038404810405298,13.038404810405298,36.013886210738214,Alert
182,12.041594578792296,13.0,35.05709628591621,Alert
184,13.0,13.0,36.05551275463989,Alert
186,13.038404810405298,12.0,34.058772731852805,Alert
188,14.0,13.0,33.06055050963308,Alert
190,13.0,12.0,33.06055050963308,Alert
192,12.041594578792296,12.041594578792296,31.064449134018133,Alert
194,12.0,12.0,30.14962686336267,Alert
196,12.041594578792296,11.0,31.064449134018133,Alert
198,12.0,12.041594578792296,31.016124838541646,Alert
200,9.0,8.06225774829855,29.27456233660889,Drowsy
202,9.055385138137416,8.246211251235321,30.4138126514911,Drowsy
204,9.055385138137416,8.06225774829855,29.61418578992169,Drowsy
206,8.06225774829855,7.071067811865476,29.42787793912432,Drowsy
208,11.0,9.055385138137416,31.064449134018133,Drowsy
210,10.0,8.06225774829855,29.27456233660889,Drowsy
212,9.0,8.06225774829855,29.42787793912432,Drowsy
214,8.06225774829855,7.071067811865476,29.27456233660889,Drowsy
216,11.0,10.04987562112089,31.064449134018133,Alert
218,9.055385138137416,7.0,32.2490309931942,Drowsy
220,8.06225774829855,8.246211251235321,30.4138126514911,Drowsy
222,11.0,10.0,30.01666203960727,Alert
224,11.04536101718726,11.04536101718726,29.0,Alert
226,12.16552506059644,11.180339887498947,28.0178514522438,Alert
228,10.198039027185567,10.04987562112089,29.0,Alert
230,10.04987562112089,10.04987562112089,28.0713376952364,Alert
232,7.071067811865476,7.0,21.0,Alert
234,8.06225774829855,9.0,23.08679276123039,Alert
236,7.071067811865476,7.0,23.0,Drowsy
238,7.071067811865476,8.06225774829855,21.095023109728988,Alert
240,12.16552506059644,11.04536101718726,28.16025568065745,Alert
242,8.06225774829855,9.055385138137416,22.360679774997894,Alert
244,10.04987562112089,9.0,27.16615541441225,Alert
246,9.0,8.0,25.179356624028344,Alert
248,10.04987562112089,9.0,24.020824298928627,Alert
250,9.055385138137416,9.0,27.018512172212592,Alert
